GeneID	Length	Control-1	Control-2	Control-3	Cys247X.AS-1	Cys247X.AS-2	Cys247X.AS-3	Cys247X-1	Cys247X-2	Cys247X-3
ENSG00000223972	1735	0	1	2	0	0	0	0	0	2
ENSG00000227232	1351	467	205	241	107	149	339	216	345	374
ENSG00000278267	68	10	10	4	2	3	11	11	13	12
ENSG00000243485	1021	0	1	0	1	0	0	0	0	0
ENSG00000284332	138	0	0	0	0	0	0	0	0	0
ENSG00000237613	1219	0	0	1	0	0	0	0	0	0
ENSG00000268020	840	0	0	0	0	0	0	0	0	0
ENSG00000240361	1414	0	0	0	0	0	0	0	0	0
ENSG00000186092	2618	0	0	0	0	0	0	0	0	0
ENSG00000238009	3726	1	6	6	2	0	2	1	10	14
ENSG00000239945	1319	0	0	0	0	0	0	0	0	0
ENSG00000233750	3812	0	0	0	0	0	0	0	0	0
ENSG00000268903	755	252	140	129	41	66	150	77	82	133
ENSG00000269981	284	272	136	139	36	63	101	81	153	257
ENSG00000239906	323	0	0	0	0	0	0	0	1	1
ENSG00000241860	7559	74	56	55	18	36	17	42	50	86
ENSG00000222623	104	0	0	0	0	0	0	0	0	0
ENSG00000241599	457	0	0	0	0	0	0	0	0	0
ENSG00000279928	570	33	20	14	0	0	0	5	5	19
ENSG00000279457	1397	426	160	216	195	196	548	198	258	331
ENSG00000273874	68	1	1	0	0	1	2	0	0	0
ENSG00000228463	8224	7	2	8	5	2	7	10	11	10
ENSG00000286448	736	0	0	0	0	0	0	0	0	0
ENSG00000236679	385	1	0	0	1	0	1	0	0	2
ENSG00000236601	1095	0	0	0	0	0	0	0	0	0
ENSG00000237094	6204	399	183	227	56	73	38	95	165	253
ENSG00000269732	363	0	0	0	0	0	0	0	0	0
ENSG00000284733	995	0	0	0	0	0	0	0	0	0
ENSG00000233653	2477	0	0	0	0	0	0	0	0	0
ENSG00000250575	1239	1	0	0	0	0	0	0	1	0
ENSG00000278757	104	5	3	1	0	0	0	1	2	0
ENSG00000230021	5495	13	9	8	4	7	3	3	12	12
ENSG00000235146	635	0	0	0	0	0	0	0	0	0
ENSG00000225972	372	51	4	101	3	1	2	10	17	15
ENSG00000225630	1044	17058	5275	6471	3477	5386	4721	7225	6298	6928
ENSG00000237973	1543	5062	1484	2527	1471	2608	2514	1553	1450	2191
ENSG00000278791	89	0	0	0	0	0	0	0	0	1
ENSG00000229344	682	198	64	127	40	30	62	42	44	43
ENSG00000240409	207	14	3	5	2	3	1	3	0	4
ENSG00000248527	681	51347	14731	17928	15285	14565	21486	20391	18066	21062
ENSG00000198744	547	199	49	151	27	50	53	36	47	41
ENSG00000268663	424	0	0	0	0	0	0	0	0	0
ENSG00000284662	995	0	0	0	0	0	0	0	0	0
ENSG00000229376	2455	0	0	0	0	0	0	0	0	0
ENSG00000228327	6432	503	262	264	158	200	129	204	386	516
ENSG00000223181	104	0	0	0	0	0	0	0	0	0
ENSG00000229905	456	0	0	0	0	0	0	0	0	0
ENSG00000237491	8413	132	65	83	31	48	42	67	90	123
ENSG00000285268	114	0	0	0	0	0	0	0	0	0
ENSG00000230092	872	37	19	29	12	15	6	12	27	22
ENSG00000177757	1947	8	1	1	1	2	0	4	4	4
ENSG00000228794	18974	1633	626	847	510	534	638	926	777	976
ENSG00000225880	1317	66	50	37	21	38	37	70	48	58
ENSG00000230368	1971	3	2	0	0	1	1	0	14	1
ENSG00000234711	1058	0	0	0	0	0	0	0	0	0
ENSG00000283040	837	0	0	0	0	0	0	0	1	0
ENSG00000272438	351	100	61	47	38	47	24	18	14	12
ENSG00000230699	3043	336	246	180	159	166	82	77	48	60
ENSG00000241180	443	11	8	5	1	0	0	0	2	4
ENSG00000223764	4152	2171	751	832	1437	1541	1499	700	546	899
ENSG00000187634	4173	2445	653	956	1520	932	1278	513	395	1022
ENSG00000188976	5540	8847	3322	3647	2933	2620	3795	2925	3627	4218
ENSG00000187961	3402	1676	792	784	498	542	1193	423	580	891
ENSG00000187583	3451	36	20	37	27	30	29	13	8	6
ENSG00000187642	3424	2	2	1	2	2	0	0	0	0
ENSG00000272512	2086	9	11	10	11	7	27	3	10	20
ENSG00000188290	1118	421	147	156	130	118	198	36	27	64
ENSG00000187608	867	213	81	68	70	95	116	89	37	71
ENSG00000231702	154	2	0	1	0	0	0	1	0	0
ENSG00000224969	471	0	0	0	0	0	0	0	0	0
ENSG00000188157	10761	99027	27739	31734	24113	28325	27926	25323	14838	25439
ENSG00000242590	402	0	0	0	0	0	0	0	0	0
ENSG00000217801	2203	167	51	78	46	46	62	8	60	61
ENSG00000273443	829	7	0	1	1	1	0	0	1	1
ENSG00000237330	1900	13	9	4	14	1	1	1	7	10
ENSG00000131591	6322	1915	799	919	455	510	897	628	570	928
ENSG00000285812	1095	7	1	0	1	0	0	0	1	0
ENSG00000223823	1620	2	5	1	0	0	0	2	0	4
ENSG00000207730	95	0	0	0	0	0	0	0	0	0
ENSG00000207607	90	0	0	1	0	0	1	0	0	0
ENSG00000198976	83	1	0	1	0	0	0	1	0	0
ENSG00000272141	987	8	2	3	0	4	2	3	0	3
ENSG00000205231	3532	1	0	0	0	1	0	0	0	0
ENSG00000162571	3943	15	1	7	10	31	27	8	47	22
ENSG00000186891	1271	171	42	41	22	22	38	0	3	0
ENSG00000186827	1722	2	1	2	3	2	0	0	1	1
ENSG00000078808	4745	23044	5441	7113	7031	5785	8740	5837	7144	7206
ENSG00000176022	2805	7199	1894	2489	2161	2098	3067	2473	2603	2220
ENSG00000184163	1794	249	61	66	206	75	228	47	40	40
ENSG00000260179	1558	17	7	1	12	3	7	4	6	10
ENSG00000160087	4712	6176	1778	2346	1754	1871	2688	2015	1766	2161
ENSG00000230415	513	238	95	105	53	68	121	74	99	116
ENSG00000162572	4025	1523	592	755	413	575	1377	421	544	544
ENSG00000131584	8707	5769	2519	3160	1528	2291	3364	2788	2275	3395
ENSG00000278073	61	0	0	0	0	0	0	0	0	0
ENSG00000169972	2459	1517	429	522	502	410	822	361	499	520
ENSG00000127054	8220	8471	3186	3576	3205	3059	4975	2886	3441	4017
ENSG00000283712	65	0	0	0	0	0	0	0	0	0
ENSG00000240731	386	136	74	86	15	44	31	43	81	110
ENSG00000224051	2555	2759	705	885	771	817	1587	793	735	705
ENSG00000169962	3475	100	56	83	34	97	478	85	182	52
ENSG00000107404	3882	7048	2111	2398	1944	1963	3669	2685	2291	2361
ENSG00000284372	59	0	0	0	0	0	0	0	0	0
ENSG00000162576	3622	2902	409	817	520	1359	1082	1410	828	1120
ENSG00000175756	1669	5929	1568	1788	1380	1490	3204	1697	1435	1571
ENSG00000223663	367	4	0	2	0	0	0	1	0	1
ENSG00000221978	6857	36288	13734	19967	7466	10503	18690	13194	14124	17520
ENSG00000224870	2527	3563	1054	1302	1226	1034	1916	1012	1320	1081
ENSG00000242485	2767	5346	1589	2046	1791	1732	2619	1910	2259	2166
ENSG00000264293	293	0	0	0	0	0	0	0	0	0
ENSG00000272455	1523	248	35	134	67	83	100	74	76	77
ENSG00000235098	2644	138	48	50	43	63	96	19	12	13
ENSG00000225905	543	5	1	3	1	0	2	0	0	0
ENSG00000205116	492	10	0	1	1	2	0	0	0	1
ENSG00000225285	851	17	6	7	12	6	6	0	2	0
ENSG00000179403	5065	2133	428	621	674	525	812	179	364	188
ENSG00000215915	3981	9	4	5	5	3	4	1	4	7
ENSG00000160072	7686	2495	904	1175	642	777	1554	779	1140	1257
ENSG00000284740	660	2	1	0	4	12	18	16	32	10
ENSG00000197785	3344	2808	910	1076	1101	862	1522	848	1057	1163
ENSG00000205090	2009	422	143	137	126	140	251	130	84	115
ENSG00000160075	6919	10758	3078	4058	3280	3625	4269	3947	4074	4111
ENSG00000215014	2349	167	47	57	44	76	61	63	84	63
ENSG00000274481	400	0	0	0	0	0	0	0	0	0
ENSG00000228594	2124	3448	1062	1017	1092	533	1282	797	441	545
ENSG00000286989	1830	307	139	94	102	65	128	90	54	54
ENSG00000272106	2038	2449	677	821	425	638	882	877	670	577
ENSG00000197530	8767	6739	2667	2921	1770	1784	4063	2136	1423	2152
ENSG00000189409	2205	14	8	5	0	2	8	0	1	1
ENSG00000248333	3488	3003	1186	1318	937	887	1337	1191	1294	1613
ENSG00000272004	400	55	10	23	9	19	12	23	21	20
ENSG00000189339	8462	28380	10291	12595	9262	9531	9813	9941	7913	12487
ENSG00000269737	1819	4	0	4	0	1	0	4	3	0
ENSG00000215914	1017	18	4	3	1	2	4	8	0	5
ENSG00000008128	5085	339	185	164	93	137	279	194	232	278
ENSG00000268575	5079	772	253	302	131	121	157	464	243	399
ENSG00000227775	2759	9	2	5	1	2	5	3	3	2
ENSG00000215790	7713	3728	1615	1660	1180	1085	1685	1570	1254	2220
ENSG00000008130	5570	10281	3267	4017	3229	2955	4750	2912	3473	3833
ENSG00000078369	6417	63382	19238	23623	24552	20036	23819	27047	23672	29249
ENSG00000231050	906	111	29	29	18	8	13	13	12	15
ENSG00000169885	2040	46	24	40	3	17	23	17	24	34
ENSG00000178821	1600	308	129	140	72	50	82	82	83	90
ENSG00000142609	10422	153	41	73	57	107	56	52	190	79
ENSG00000233542	2063	5	4	3	0	1	1	3	0	3
ENSG00000187730	5525	55	18	21	7	13	26	23	26	23
ENSG00000226969	538	7	4	4	2	10	3	2	4	5
ENSG00000067606	7695	9292	3544	3760	2762	2545	3358	3031	2793	4300
ENSG00000271806	4196	1	1	2	1	0	0	0	0	0
ENSG00000182873	1734	352	111	151	107	96	158	116	112	79
ENSG00000162585	10916	5214	1431	1653	1141	1700	2373	1546	1133	1342
ENSG00000234396	326	5	0	2	0	0	3	1	3	1
ENSG00000157933	6550	11750	3870	4250	3042	3517	3401	4921	3081	4639
ENSG00000287356	5794	324	103	154	144	215	275	124	56	146
ENSG00000116151	11337	2913	844	1039	1038	715	1198	410	595	626
ENSG00000272161	493	4	3	4	0	2	8	3	0	3
ENSG00000269896	2407	515	321	258	139	151	245	87	174	210
ENSG00000272420	568	37	13	20	10	11	19	14	21	21
ENSG00000157916	5689	14834	4656	5712	4244	4026	6301	4767	5274	6420
ENSG00000157911	3789	4609	1224	1697	1468	1313	1950	1382	1569	1458
ENSG00000149527	10809	765	366	478	192	362	340	383	178	253
ENSG00000224387	455	2	4	3	0	3	4	1	2	2
ENSG00000229393	514	16	7	10	0	8	2	3	1	5
ENSG00000157881	5086	2788	1050	1212	980	896	1768	920	1210	1389
ENSG00000197921	1324	15	2	17	27	6	36	1	39	12
ENSG00000272449	1531	48	11	10	16	15	31	7	8	9
ENSG00000238164	6137	11	3	6	8	13	19	11	27	19
ENSG00000157873	6219	3951	860	2138	2780	2987	9403	1628	5800	5992
ENSG00000225931	1297	5	2	3	2	7	6	3	28	20
ENSG00000228037	626	3	2	6	8	5	13	2	4	9
ENSG00000157870	3371	6164	1688	2196	2851	2507	3266	2051	2563	2750
ENSG00000142606	3870	183	75	89	43	92	150	80	72	47
ENSG00000237058	373	10	1	5	9	5	29	1	1	0
ENSG00000215912	8814	227	79	75	71	80	109	115	213	175
ENSG00000285945	593	1	1	1	0	1	2	0	4	0
ENSG00000283259	1565	1	0	0	0	0	0	0	15	1
ENSG00000233234	607	0	0	0	0	0	0	0	0	0
ENSG00000287396	663	0	0	0	0	0	0	0	0	0
ENSG00000231630	429	0	0	0	0	0	0	0	0	0
ENSG00000284745	1654	0	0	0	0	0	0	0	0	0
ENSG00000169717	1437	0	0	0	0	0	0	0	1	0
ENSG00000177133	5600	17982	4855	5263	2864	3637	4754	1052	5517	5743
ENSG00000142611	9767	23478	8296	9099	5458	5694	4401	3648	8039	9974
ENSG00000283572	61	1	1	3	0	3	0	1	0	5
ENSG00000226286	469	11	1	5	1	4	2	0	6	7
ENSG00000279839	2677	10	3	3	1	1	1	3	8	4
ENSG00000272235	3461	42	18	21	8	9	10	7	22	15
ENSG00000287828	728	81	17	23	16	13	25	6	26	23
ENSG00000286518	2784	0	0	0	0	0	0	0	0	0
ENSG00000130762	5324	1858	866	792	577	735	569	221	330	419
ENSG00000272088	382	5	2	8	2	0	0	2	1	2
ENSG00000162591	9021	3181	1253	1187	959	1615	1078	1241	385	549
ENSG00000207776	96	0	0	0	0	0	0	0	0	0
ENSG00000238260	622	17	11	11	3	5	10	8	8	9
ENSG00000158109	2401	2383	836	888	806	667	1320	892	1168	1110
ENSG00000116213	7634	2055	915	993	487	602	1150	582	1054	1217
ENSG00000078900	6767	46	19	15	40	59	152	25	180	66
ENSG00000227589	754	2	1	2	1	2	4	0	2	0
ENSG00000235131	351	0	0	0	0	0	0	0	0	0
ENSG00000227372	9701	7160	2224	2957	2585	2156	3066	2218	2704	2632
ENSG00000276189	161	0	0	0	0	0	0	0	0	0
ENSG00000162592	4238	0	1	0	1	0	0	0	0	2
ENSG00000235169	981	408	93	106	136	132	271	52	97	89
ENSG00000130764	4509	7160	2311	2936	2492	2274	3323	2723	2705	3275
ENSG00000266075	297	39	12	22	20	18	11	4	14	21
ENSG00000272153	531	49	23	17	28	36	32	13	24	13
ENSG00000116198	7871	7100	2687	2955	1839	1648	2507	2223	4162	3989
ENSG00000169598	3870	1529	539	646	434	356	662	628	819	1045
ENSG00000198912	4388	2289	952	1086	690	697	1105	943	1041	1204
